,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,Age,AvgMonthlyGBDownload,AvgMonthlyLongDistanceCharges,CLTV,City,DeviceProtectionPlan,Gender,InternetType,Latitude,Longitude,Married,MonthlyCharge,NumberofDependents,NumberofReferrals,Offer,Population,PremiumTechSupport,Product/ServiceIssuesReported,ReferredaFriend,StreamingMusic,TenureinMonths,TotalCustomerSvcRequests,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRefunds,TotalRegularCharges,Under30,UnlimitedData,ZipCode
18,0,1,1,10,1,0,1,0,0,0,0,Month-to-month,0,Credit card (automatic),55.2,1,21,76,9.41,5925,San Diego,1,0,Cable,32.898613,-117.202937,1,57.40800000000001,0,6,None,4258,1,0,1,0,10,2,40.15,94.1,0.0,528.35,1,1,92121
19,0,0,0,21,1,0,1,0,1,0,1,Month-to-month,1,Electronic check,90.05,0,30,73,6.49,5982,Los Angeles,1,0,Fiber Optic,34.029043,-118.23950400000001,0,90.05,0,0,Offer D,3012,0,0,0,1,21,0,0.0,136.29,0.0,1862.9,0,1,90021
20,1,0,0,1,0,No phone service,1,0,0,0,1,Month-to-month,1,Electronic check,39.65,1,78,9,0.0,5433,Los Angeles,1,1,Fiber Optic,34.02381,-118.156582,0,41.236000000000004,0,0,None,68701,0,0,0,0,1,5,0.0,0.0,0.0,39.65,0,0,90022
21,0,1,0,12,1,0,0,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,0,45,0,11.04,5279,Los Angeles,0,1,NA,34.017697,-118.200577,1,19.8,0,10,Offer D,47487,0,0,1,0,12,0,0.0,132.48,0.0,202.25,0,0,90023
22,0,0,0,1,1,0,0,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,1,29,0,33.58,4832,Los Angeles,0,1,NA,34.066303000000005,-118.435479,0,20.15,0,0,None,44150,0,0,0,0,1,1,0.0,33.58,0.0,20.15,1,0,90024
23,0,1,0,58,1,1,1,0,1,0,0,Two year,1,Credit card (automatic),59.9,0,25,76,48.98,6407,Los Angeles,0,0,Fiber Optic,34.046174,-118.44633300000001,1,59.9,0,1,Offer B,41175,1,0,1,0,58,1,2664.0,2840.84,0.0,3505.1,1,0,90025
24,0,1,1,49,1,0,1,1,1,0,0,Month-to-month,0,Credit card (automatic),59.6,0,42,30,5.29,4986,Los Angeles,0,1,DSL,34.078990999999995,-118.26380400000001,1,59.6,2,3,Offer B,73686,1,0,1,0,49,2,0.0,259.21,0.0,2970.3,0,1,90026
25,0,0,0,30,1,0,1,1,1,0,0,Month-to-month,1,Bank transfer (automatic),55.3,0,25,27,19.41,2725,Los Angeles,0,0,Fiber Optic,34.127194,-118.295647,0,55.3,0,0,None,48727,0,0,0,0,30,2,0.0,582.3,0.0,1530.6,1,1,90027
26,0,1,1,47,1,1,1,0,1,1,1,Month-to-month,1,Electronic check,99.35,1,61,18,31.35,5789,Los Angeles,0,1,Cable,34.099869,-118.326843,1,103.324,1,1,None,30568,0,1,1,1,47,1,0.0,1473.45,0.0,4749.15,0,1,90028
27,0,1,1,1,0,No phone service,1,0,1,0,0,Month-to-month,0,Electronic check,30.2,1,27,64,0.0,2915,Los Angeles,0,1,DSL,34.089953,-118.294824,1,31.408,0,1,None,41713,0,2,1,0,1,3,0.0,0.0,0.0,30.2,1,0,90029
28,0,1,0,72,1,1,1,1,1,1,1,Two year,1,Credit card (automatic),90.25,0,36,28,10.92,5974,Los Angeles,1,1,Fiber Optic,34.085807,-118.206617,1,90.25,0,9,None,38415,1,0,1,1,72,2,1783.0,786.24,0.0,6369.45,0,0,90031
29,0,0,1,17,1,0,1,0,0,1,1,Month-to-month,1,Mailed check,64.7,1,20,45,40.55,3022,Los Angeles,0,0,DSL,34.078821000000005,-118.177576,0,67.28800000000001,0,0,None,46960,0,1,0,1,17,5,0.0,689.3499999999998,0.0,1093.1,1,1,90032
30,1,1,0,71,1,1,1,1,1,0,0,Two year,1,Credit card (automatic),96.35,0,69,12,47.02,5309,Los Angeles,1,0,Fiber Optic,34.050197999999995,-118.21094599999999,1,96.35,0,3,None,49431,1,0,1,0,71,0,0.0,3338.42,0.0,6766.95,0,1,90033
31,1,1,0,2,1,0,1,0,0,1,1,Month-to-month,1,Credit card (automatic),95.5,0,79,11,33.1,4449,Los Angeles,1,1,Fiber Optic,34.030578000000006,-118.39961299999999,1,95.5,0,10,Offer E,58218,0,0,1,0,2,1,20.0,66.2,0.0,181.65,0,0,90034
32,0,1,1,27,1,0,1,1,1,0,0,One year,0,Mailed check,66.15,0,46,13,40.21,3213,Los Angeles,1,0,DSL,34.051809000000006,-118.383843,1,66.15,0,5,None,27799,1,0,1,0,27,0,0.0,1085.67,0.0,1874.45,0,1,90035
33,0,0,0,1,1,0,0,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.2,0,35,0,24.48,5526,Los Angeles,0,1,NA,34.070291,-118.34919099999999,0,20.2,0,0,Offer E,32901,0,0,0,0,1,0,0.0,24.48,0.0,20.2,0,0,90036
34,1,0,0,1,1,0,1,0,0,0,0,Month-to-month,0,Bank transfer (automatic),45.25,0,71,12,11.89,3144,Los Angeles,0,1,DSL,34.002642,-118.287596,0,45.25,0,0,Offer E,56709,0,0,0,0,1,0,0.0,11.89,0.0,45.25,0,1,90037
35,0,1,1,72,1,1,1,1,1,1,0,Two year,0,Bank transfer (automatic),99.9,0,60,26,23.66,5915,Los Angeles,0,0,Fiber Optic,34.088017,-118.327168,1,99.9,0,7,None,32562,1,0,1,0,72,1,1885.0,1703.52,0.0,7251.7,0,0,90038
36,0,0,0,5,1,0,1,0,0,0,0,Month-to-month,1,Electronic check,69.7,1,56,64,12.6,2454,Los Angeles,0,1,Cable,34.110845,-118.25959499999999,0,72.488,3,0,None,29310,0,1,0,0,5,1,203.0,63.0,0.0,316.9,0,0,90039
37,0,0,0,46,1,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),74.8,0,19,69,42.44,3395,Los Angeles,1,0,Cable,33.994524,-118.149953,0,74.8,0,0,Offer B,9805,0,1,0,0,46,1,2448.0,1952.24,0.0,3548.3,1,0,90040
38,0,0,0,34,1,1,1,0,1,1,1,Month-to-month,1,Electronic check,106.35,1,51,31,21.69,2941,Los Angeles,1,1,Cable,34.137412,-118.20760700000001,0,110.604,1,0,Offer C,27866,0,0,0,1,34,2,1100.0,737.46,0.0,3549.25,0,0,90041
39,0,0,0,11,1,1,1,0,0,1,1,Month-to-month,1,Bank transfer (automatic),97.85,1,48,20,27.57,5674,Los Angeles,1,0,Cable,34.11572,-118.19275400000001,0,101.764,2,0,None,64672,0,0,0,1,11,0,221.0,303.27,0.0,1105.4,0,0,90042
40,0,1,1,10,1,0,1,0,1,0,0,One year,0,Mailed check,49.55,0,53,7,26.17,2392,Los Angeles,0,1,Fiber Optic,33.988543,-118.33408100000001,1,49.55,0,6,Offer D,44764,0,0,1,0,10,2,3.33,261.70000000000005,0.0,475.7,0,1,90043
41,0,1,1,70,1,1,1,1,1,1,0,Two year,1,Credit card (automatic),69.2,0,52,23,29.38,4715,Los Angeles,0,0,Fiber Optic,33.952714,-118.292061,1,69.2,0,8,None,87383,0,0,1,0,70,1,112.06,2056.6,0.0,4872.35,0,1,90044
42,0,1,1,17,1,0,0,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.75,0,28,0,8.74,3646,Los Angeles,0,0,NA,33.954017,-118.402447,1,20.75,0,8,Offer D,39334,0,0,1,0,17,0,0.0,148.58,0.0,418.25,1,0,90045
43,0,0,0,63,1,1,1,1,1,1,0,Two year,1,Credit card (automatic),79.85,0,36,17,12.82,4595,Los Angeles,1,0,Fiber Optic,34.108455,-118.362081,0,79.85,0,0,Offer B,49839,1,1,0,0,63,2,0.0,807.66,0.0,4861.45,0,1,90046
44,0,1,0,13,1,1,1,1,1,1,0,Month-to-month,1,Electronic check,76.2,0,42,29,11.79,2569,Los Angeles,0,0,Fiber Optic,33.958149,-118.30844099999999,1,76.2,0,1,Offer D,47107,1,1,1,0,13,2,0.0,153.26999999999995,0.0,981.45,0,1,90047
45,0,0,0,49,1,1,1,0,0,0,1,Month-to-month,1,Electronic check,84.5,0,49,24,27.2,6434,Los Angeles,0,0,Fiber Optic,34.072945000000004,-118.37267,0,84.5,0,0,Offer B,21739,0,1,0,1,49,1,93.76,1332.8,0.0,3906.7,0,1,90048
46,0,0,0,2,1,0,1,0,1,0,0,Month-to-month,0,Mailed check,49.25,0,22,71,40.75,3805,Los Angeles,0,1,Fiber Optic,34.091829,-118.491244,0,49.25,0,0,None,33523,0,1,0,0,2,1,6.89,81.5,0.0,97.0,1,1,90049
47,0,0,0,2,1,0,1,0,0,1,0,Month-to-month,1,Electronic check,80.65,1,32,21,5.85,5586,Los Angeles,0,0,Cable,33.987945,-118.370442,0,83.876,2,0,None,8115,0,1,0,0,2,2,0.0,11.7,0.0,144.15,0,1,90056
48,0,0,0,52,1,1,1,1,0,1,1,Two year,1,Credit card (automatic),79.75,0,23,73,29.16,4142,Los Angeles,0,1,Fiber Optic,34.061918,-118.27793899999999,0,79.75,0,0,Offer B,44004,1,0,0,1,52,2,3079.0,1516.32,0.0,4217.8,1,0,90057
49,0,1,1,69,1,1,1,1,0,0,0,Two year,1,Credit card (automatic),64.15,0,64,17,39.88,5128,Los Angeles,1,0,Fiber Optic,34.001616999999996,-118.222274,1,64.15,0,7,None,3642,1,0,1,0,69,2,723.0,2751.7200000000007,0.0,4254.1,0,0,90058
50,1,0,0,43,1,1,1,0,1,1,0,Month-to-month,1,Electronic check,90.25,0,65,26,12.58,2223,Los Angeles,0,0,Fiber Optic,33.927254,-118.249826,0,90.25,0,0,Offer B,38128,0,0,0,0,43,1,998.0,540.94,0.0,3838.75,0,0,90059
51,0,0,0,15,1,0,1,1,1,1,1,Month-to-month,1,Credit card (automatic),99.1,1,34,22,3.96,2966,Los Angeles,0,0,Cable,33.921279999999996,-118.27418600000001,0,103.064,1,0,None,24511,0,1,0,1,15,3,0.0,59.4,0.0,1426.4,0,1,90061
52,1,1,0,25,1,1,1,1,0,1,0,Month-to-month,1,Credit card (automatic),69.5,0,65,2,30.6,3154,Los Angeles,0,0,DSL,34.003553000000004,-118.30893300000001,1,69.5,0,9,None,29299,1,0,1,0,25,0,3.51,765.0,0.0,1752.65,0,1,90062
53,1,1,0,8,1,1,1,0,1,0,0,Month-to-month,1,Credit card (automatic),80.65,1,74,19,48.85,5302,Los Angeles,0,0,Cable,34.044271,-118.18523700000001,1,83.876,1,1,Offer E,55668,0,0,1,0,8,5,120.0,390.8,0.0,633.3,0,0,90063
54,1,1,1,60,1,0,1,1,1,0,1,One year,1,Credit card (automatic),74.85,0,72,16,48.9,5153,Los Angeles,1,0,DSL,34.037251,-118.423573,1,74.85,0,9,Offer B,24505,1,0,1,0,60,0,0.0,2934.0,0.0,4456.35,0,1,90064
55,1,0,0,18,1,1,1,0,0,1,1,Month-to-month,1,Electronic check,95.45,1,71,57,11.33,3179,Los Angeles,0,1,Fiber Optic,34.108833000000004,-118.22971499999998,0,99.26799999999999,3,0,Offer D,47534,0,0,0,1,18,1,0.0,203.94,45.61,1752.55,0,1,90065
56,0,1,1,63,1,1,1,1,0,1,1,One year,1,Credit card (automatic),99.65,0,44,16,1.43,4572,Los Angeles,0,0,Fiber Optic,34.002028,-118.430656,1,99.65,0,2,Offer B,55204,0,0,1,1,63,1,1010.0,90.09,0.0,6311.2,0,0,90066
57,1,1,1,66,1,1,1,0,1,1,1,One year,1,Electronic check,108.45,0,77,9,21.79,4582,Los Angeles,1,1,Cable,34.057496,-118.413959,1,108.45,0,3,None,2527,1,0,1,0,66,1,637.0,1438.14,0.0,7076.35,0,0,90067
58,0,1,1,34,1,1,0,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.95,0,61,0,25.21,5408,Los Angeles,0,0,NA,34.137411,-118.328915,1,24.95,0,10,None,21728,0,0,1,0,34,2,0.0,857.14,0.0,894.3,0,0,90068
59,0,0,0,72,1,1,1,0,0,1,1,Two year,1,Credit card (automatic),107.5,0,40,21,9.47,4708,West Hollywood,1,0,DSL,34.093781,-118.38106100000002,0,107.5,0,0,None,20408,1,0,0,1,72,0,1649.0,681.84,0.0,7853.7,0,0,90069
60,0,1,0,47,1,1,1,0,0,1,1,Month-to-month,1,Electronic check,100.5,0,34,14,38.15,4488,Los Angeles,1,0,Fiber Optic,34.052917,-118.255178,1,100.5,0,3,Offer B,21,0,0,1,1,47,1,0.0,1793.05,0.0,4707.1,0,1,90071
61,0,0,0,60,1,1,1,0,1,1,0,Month-to-month,1,Bank transfer (automatic),89.9,0,27,52,42.88,6292,Los Angeles,0,1,DSL,34.102084000000005,-118.451629,0,89.9,0,0,Offer B,10470,0,0,0,0,60,3,0.0,2572.8,0.0,5450.7,1,1,90077
62,0,1,0,72,0,No phone service,1,1,1,0,0,Two year,0,Bank transfer (automatic),42.1,0,36,17,0.0,6091,Bell,1,1,DSL,33.970343,-118.17136799999999,1,42.1,0,7,Offer A,105285,0,0,1,0,72,0,50.35,0.0,0.0,2962.0,0,1,90201
63,0,1,1,18,1,0,1,0,0,0,0,One year,1,Credit card (automatic),54.4,0,43,7,44.97,4948,Beverly Hills,1,0,Fiber Optic,34.099891,-118.41433799999999,1,54.4,0,2,Offer D,21397,1,0,1,0,18,0,67.0,809.46,0.0,957.1,0,0,90210
64,0,0,0,9,1,1,1,0,0,1,1,Month-to-month,0,Electronic check,94.4,1,41,32,27.21,5571,Beverly Hills,0,0,Cable,34.063947,-118.38300100000001,0,98.17600000000002,2,0,None,8321,0,0,0,1,9,2,0.0,244.89,0.0,857.25,0,1,90211
65,0,0,0,3,1,0,1,0,1,1,1,Month-to-month,1,Electronic check,75.3,0,53,20,38.99,5387,Beverly Hills,0,0,Cable,34.062095,-118.401508,0,75.3,0,0,Offer E,11355,1,1,0,1,3,1,0.0,116.97,0.0,244.1,0,1,90212
66,0,1,0,47,1,1,1,0,1,0,0,One year,1,Electronic check,78.9,0,32,30,39.52,3817,Compton,0,1,Cable,33.88151,-118.234451,1,78.9,0,8,Offer B,47305,0,0,1,0,47,2,1095.0,1857.44,0.0,3650.35,0,0,90220
67,0,0,0,31,1,0,1,0,1,1,1,Two year,0,Mailed check,79.2,0,61,27,25.57,4984,Compton,1,0,Fiber Optic,33.885811,-118.20645900000001,0,79.2,0,0,None,51387,1,0,0,1,31,0,0.0,792.67,0.0,2497.2,0,1,90221
68,0,1,1,50,1,0,0,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.15,0,37,0,26.95,5849,Compton,0,0,NA,33.912246,-118.236773,1,20.15,0,5,Offer B,29825,0,0,1,0,50,0,0.0,1347.5,0.0,930.9,0,0,90222
69,0,0,0,10,1,0,1,1,0,0,0,Month-to-month,1,Mailed check,79.85,0,29,42,48.38,5983,Culver City,1,1,Fiber Optic,33.993990999999994,-118.39703999999999,0,79.85,0,0,None,31963,0,0,0,0,10,0,0.0,483.8,0.0,887.35,1,1,90230
70,0,0,0,1,1,0,1,0,0,0,0,Month-to-month,0,Mailed check,49.05,0,39,5,25.77,3178,Culver City,0,1,Fiber Optic,34.019323,-118.391902,0,49.05,0,0,None,15195,1,1,0,0,1,1,0.0,25.77,0.0,49.05,0,1,90232
71,0,1,1,52,1,0,0,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,20.4,0,24,0,5.65,5482,Downey,0,0,NA,33.956228,-118.120993,1,20.4,0,3,Offer B,24908,0,1,1,0,52,1,0.0,293.8,0.0,1090.65,1,0,90240
72,1,1,1,64,1,1,1,1,0,1,1,Two year,1,Bank transfer (automatic),111.6,0,71,10,16.33,4881,Downey,1,1,Fiber Optic,33.940884000000004,-118.128628,1,111.6,0,9,Offer B,40152,1,0,1,0,64,1,710.0,1045.12,0.0,7099.0,0,0,90241
73,0,1,1,62,1,1,0,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.25,0,40,0,48.73,4444,Downey,0,1,NA,33.921793,-118.140588,1,24.25,0,4,Offer B,42459,0,1,1,0,62,1,0.0,3021.26,0.0,1424.6,0,0,90242
74,0,0,1,3,1,0,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),64.5,0,51,56,39.55,5613,El Segundo,0,0,Fiber Optic,33.917145,-118.401554,0,64.5,3,0,Offer E,16041,1,0,0,1,3,0,0.0,118.65,0.0,177.4,0,1,90245
75,1,0,0,56,1,1,1,1,1,1,1,One year,0,Electronic check,110.5,0,73,29,47.13,4463,Gardena,1,0,Cable,33.890853,-118.29796699999999,0,110.5,0,0,None,47758,0,0,0,0,56,2,0.0,2639.28,0.0,6139.5,0,1,90247
76,0,0,0,46,1,0,1,0,0,0,1,One year,0,Credit card (automatic),55.65,0,50,7,2.03,2867,Gardena,0,0,Fiber Optic,33.876482,-118.284077,0,55.65,0,0,Offer B,9960,0,0,0,1,46,0,0.0,93.38,0.0,2688.85,0,1,90248
77,0,1,1,8,1,0,1,1,1,0,0,Month-to-month,0,Mailed check,54.65,0,62,18,38.78,5614,Gardena,0,0,Fiber Optic,33.90139,-118.315697,1,54.65,1,1,Offer E,26442,0,0,1,0,8,0,0.0,310.24,0.0,482.25,0,1,90249
78,1,0,0,30,1,0,1,1,1,1,1,Month-to-month,1,Electronic check,74.75,0,80,5,38.61,3033,Hawthorne,0,1,DSL,33.914775,-118.348083,0,74.75,0,0,None,93315,0,0,0,0,30,1,106.0,1158.3,0.0,2111.3,0,0,90250
79,0,1,1,45,1,1,0,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),25.9,0,48,0,22.49,5741,Hermosa Beach,0,0,NA,33.865320000000004,-118.396336,1,25.9,0,4,Offer B,18693,0,2,1,0,45,3,0.0,1012.05,0.0,1216.6,0,0,90254
80,0,0,1,1,1,0,1,0,0,1,0,Month-to-month,1,Electronic check,79.35,1,32,63,13.13,2483,Huntington Park,0,0,Cable,33.97803,-118.217141,0,82.524,3,0,None,78114,0,1,0,0,1,3,0.0,13.13,0.0,79.35,0,0,90255
81,0,1,1,11,0,No phone service,1,1,0,1,1,Month-to-month,0,Electronic check,50.55,0,23,41,0.0,3443,Lawndale,0,0,Cable,33.88856,-118.35181299999999,1,50.55,1,1,None,33300,0,2,1,1,11,3,23.18,0.0,0.0,565.35,1,1,90260
82,0,1,0,7,1,0,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.15,1,34,58,8.69,3457,Lynwood,1,0,Cable,33.923573,-118.20066899999999,1,78.156,5,1,None,69850,0,0,1,0,7,0,288.0,60.83,0.0,496.9,0,0,90262
83,0,0,0,42,1,0,1,0,1,1,1,Month-to-month,1,Bank transfer (automatic),103.8,0,38,28,40.15,4005,Malibu,1,0,DSL,34.037037,-118.705803,0,103.8,0,0,Offer B,11,1,0,0,1,42,1,0.0,1686.3,0.0,4327.5,0,1,90263
84,0,1,0,49,1,0,0,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.15,0,31,0,2.82,5422,Malibu,0,0,NA,34.074571999999996,-118.831181,1,20.15,0,10,None,19630,0,0,1,0,49,0,0.0,138.17999999999998,0.0,973.35,0,0,90265
85,0,0,0,9,1,1,1,0,1,1,1,Month-to-month,1,Credit card (automatic),99.3,0,30,69,4.81,3540,Manhattan Beach,0,1,DSL,33.889632,-118.39737,0,99.3,0,0,Offer E,33758,0,0,0,1,9,2,634.0,43.29,0.0,918.75,0,0,90266
86,0,1,0,35,1,0,1,1,0,1,0,One year,1,Bank transfer (automatic),62.15,0,51,30,24.53,5255,Maywood,0,0,DSL,33.988572,-118.18656499999999,1,62.15,0,1,Offer C,28094,0,0,1,0,35,1,665.0,858.5500000000002,0.0,2215.45,0,0,90270
87,0,1,1,48,1,0,0,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.65,0,24,0,37.96,4124,Pacific Palisades,0,0,NA,34.079449,-118.54830600000001,1,20.65,0,10,None,22548,0,0,1,0,48,0,0.0,1822.08,0.0,1057.0,1,0,90272
88,0,1,1,46,1,0,0,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.95,0,56,0,30.47,5480,Palos Verdes Peninsula,0,0,NA,33.788208000000004,-118.404955,1,19.95,0,1,None,24979,0,0,1,0,46,0,0.0,1401.62,0.0,927.1,0,0,90274
89,0,1,0,29,0,No phone service,1,0,0,1,0,Month-to-month,0,Mailed check,33.75,0,47,22,0.0,3664,Rancho Palos Verdes,0,1,DSL,33.753146,-118.36745900000001,1,33.75,0,4,Offer C,41263,0,0,1,0,29,0,0.0,0.0,0.0,1009.25,0,1,90275
90,0,1,1,30,1,0,1,0,1,0,0,Month-to-month,0,Bank transfer (automatic),82.05,0,32,21,6.19,5036,Redondo Beach,1,1,Cable,33.830453000000006,-118.384565,1,82.05,3,5,Offer C,34191,0,0,1,0,30,0,540.0,185.7,0.0,2570.2,0,0,90277
91,1,0,0,1,1,0,1,0,0,0,0,Month-to-month,0,Electronic check,74.7,0,79,2,27.65,4182,Redondo Beach,0,1,DSL,33.873395,-118.37019,0,74.7,0,0,None,37322,1,0,0,0,1,0,0.0,27.65,0.0,74.7,0,1,90278
92,0,1,1,66,1,1,1,1,0,1,1,Two year,1,Mailed check,84.0,0,57,26,6.22,5825,South Gate,1,1,Fiber Optic,33.944624,-118.19261499999999,1,84.0,0,0,Offer A,96267,1,0,0,1,66,1,1486.0,410.52,0.0,5714.25,0,0,90280
93,0,0,0,65,1,1,1,1,1,1,1,Month-to-month,1,Credit card (automatic),111.05,0,50,14,41.78,5261,Topanga,1,0,DSL,34.115192,-118.61017,0,111.05,0,0,None,5451,0,0,0,1,65,0,995.0,2715.7000000000007,0.0,7107.0,0,0,90290
